Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Latitude,Longitude
2007-4-19T23:0:0,sheffield,40.4,58.2,48.6,40.7,74.85,,18.3,,119.16,0,0,0,7.9,,1022,53.38311,-1.46455
2007-4-20T23:0:0,sheffield,43.9,64,54.2,43.8,68.98,,17,,186.44,0,0,0,6.4,,1019.3,53.38311,-1.46455
2007-4-21T23:0:0,sheffield,49,62.2,55.6,45.5,69.07,,16.1,,198.16,0,4,0,7,,1017.9,53.38311,-1.46455
2007-4-22T23:0:0,sheffield,52.8,59.2,56.9,53.6,88.98,,19.1,,203,0.3,8,0.8,6.8,,1016.8,53.38311,-1.46455
2007-4-23T23:0:0,sheffield,53.9,62.7,58.7,54.5,86.34,,18.6,,197.68,0.2,8,0.8,7,,1013.8,53.38311,-1.46455
2007-4-24T23:0:0,sheffield,46.4,64.1,57.1,48.9,75.65,,23,35.8,214.16,0.1,4,,9.1,,1012.5,53.38311,-1.46455
2007-4-25T23:0:0,sheffield,42.3,60.1,51.1,44.1,78.12,,18.7,,112.16,0,0,,11.1,,1023.3,53.38311,-1.46455
2007-4-26T23:0:0,sheffield,45.2,58.6,50.8,45.9,83.76,,21.7,43.8,60.36,0,0,,8,,1025.4,53.38311,-1.46455
2007-4-27T23:0:0,sheffield,43.4,62.1,51.5,42.1,71.26,,31.1,39.1,114.6,0,0,,12.8,,1025.6,53.38311,-1.46455
2007-4-28T23:0:0,sheffield,40.7,61.5,50.2,44.6,81.54,,35.6,43.8,64.32,0,0,,6.2,,1021.3,53.38311,-1.46455
2007-4-29T23:0:0,sheffield,41.8,60.3,50.6,41.6,74.13,,32.2,40.3,94.2,0,0,,9.2,,1017.5,53.38311,-1.46455
2007-4-30T23:0:0,sheffield,40.3,66.3,52.7,42.1,70.94,,23,35.8,81.52,0,0,,10.4,,1017,53.38311,-1.46455
2007-5-1T23:0:0,sheffield,43.6,59.5,50.6,43.6,77.9,,17.5,39.1,56.12,0,0,,7.3,,1018.4,53.38311,-1.46455
2007-5-2T23:0:0,sheffield,42.5,61.6,50.4,43.3,77.97,,15,,55.92,0,0,,6.3,,1019.2,53.38311,-1.46455
2007-5-3T23:0:0,sheffield,41.1,52.2,47.3,41.1,79.46,,15,,38.64,0,0,,6.7,,1019.3,53.38311,-1.46455
2007-5-4T23:0:0,sheffield,42.9,59.7,50.8,42.8,74.75,,9.5,,146.8,0,0,,6.3,,1019.6,53.38311,-1.46455
2007-5-5T23:0:0,sheffield,49.2,59.3,54.2,44.5,70.59,,20.2,,237.2,0,0,,8.9,,1013.5,53.38311,-1.46455
2007-5-6T23:0:0,sheffield,47.4,57.8,52.3,45.7,78.75,,19.1,,249.68,0,4,,11.1,,1008.3,53.38311,-1.46455
2007-5-7T23:0:0,sheffield,43.4,57.8,51.6,43.7,74.89,,21.8,,257.88,0.5,12,,11.2,,1008.4,53.38311,-1.46455
2007-5-8T23:0:0,sheffield,43.1,59.5,51.4,45.6,81.92,,13.4,,204.52,0.2,8,,9.8,,1009.8,53.38311,-1.46455
2007-5-9T23:0:0,sheffield,45.6,60.9,53.2,43.8,72.33,,26.8,36.9,232.6,0.2,4,,11.9,,1001.6,53.38311,-1.46455
2007-5-10T23:0:0,sheffield,45.4,56.2,50.3,45.9,85.77,,11.5,,199.88,0.1,8,,8.3,,999.5,53.38311,-1.46455
2007-5-11T23:0:0,sheffield,46.7,59.6,52.3,47.9,85.65,,18.8,,235.8,0.1,8,,10,,1000,53.38311,-1.46455
2007-5-12T23:0:0,sheffield,44.4,56.7,50.3,47.8,91.47,,17.8,,117.72,0.7,12,,7.2,,999.8,53.38311,-1.46455
2007-5-13T23:0:0,sheffield,42.5,55.2,48.9,43,81.29,,17.4,,234.92,0.4,12,,10,,1005.6,53.38311,-1.46455
2007-5-14T23:0:0,sheffield,41.3,59.4,50.1,45.6,84.69,,10.1,,148.4,0.1,8,,9.5,,1011.4,53.38311,-1.46455
2007-5-15T23:0:0,sheffield,44.7,54.4,50.1,47.8,91.89,,10.4,,254.68,0.4,12,,5.5,,1011.8,53.38311,-1.46455
2007-5-16T23:0:0,sheffield,50.6,60.7,56,53.4,91.42,,13.2,,238.52,0.5,12,,6.6,,1012.2,53.38311,-1.46455
2007-5-17T23:0:0,sheffield,51.3,64,58,49.1,73.92,,30.2,35.8,222.48,0,0,,11,,1008.1,53.38311,-1.46455
2007-5-18T23:0:0,sheffield,46.1,61.4,52.2,43.1,71.57,,24,,237.44,0.1,8,,11.1,,1008.4,53.38311,-1.46455
2007-5-19T23:0:0,sheffield,41,62.7,52.3,42.1,70.69,,10.6,,193.64,0,0,,10.5,,1016.3,53.38311,-1.46455
2007-5-20T23:0:0,sheffield,44,61.8,53.5,43.6,70.35,,8.8,,160.52,0,0,,9.9,,1019,53.38311,-1.46455
2007-5-21T23:0:0,sheffield,42.1,64.6,53.9,44.8,72.48,,13.1,,232.68,0,0,,9.7,,1021.4,53.38311,-1.46455
2007-5-22T23:0:0,sheffield,48,69.7,58.7,51.8,78.58,,12,,246.88,0,0,,8.8,,1022.4,53.38311,-1.46455
2007-5-23T23:0:0,sheffield,54.1,69.3,61.2,55.5,81.92,,11.8,,258.32,0,0,,8.1,,1016.3,53.38311,-1.46455
2007-5-24T23:0:0,sheffield,48.3,61.1,55.4,47.6,76.38,,12.7,,282.6,0,4,,9.7,,1010,53.38311,-1.46455
2007-5-25T23:0:0,sheffield,42.5,54.9,48.7,40.9,75.38,,9.1,,217.52,0,4,,11,,1007.2,53.38311,-1.46455
2007-5-26T23:0:0,sheffield,43.6,49,46.2,43.7,90.99,,21.5,39.1,56.68,0.2,8,,7,,1001.9,53.38311,-1.46455
2007-5-27T23:0:0,sheffield,43.5,50.1,46.5,40,78.17,,18.7,,240.32,0,8,,10.2,,1008.1,53.38311,-1.46455
2007-5-28T23:0:0,sheffield,37.1,55.7,47.1,38.5,73.83,,17.2,,279.28,0,0,,8.7,,1009.4,53.38311,-1.46455
2007-5-29T23:0:0,sheffield,37.7,57.3,48.8,42.4,79.01,,15.4,,175.6,0,4,,11,,1003.4,53.38311,-1.46455
2007-5-30T23:0:0,sheffield,44.4,62.3,53.5,48.6,84.27,,11.4,,147.52,0,8,,9.9,,1007.8,53.38311,-1.46455
2007-5-31T23:0:0,sheffield,47.8,68.4,57.2,50.2,79.67,,9,,129.24,0,0,,7.1,,1017.8,53.38311,-1.46455
2007-6-1T23:0:0,sheffield,49.3,70.6,59.4,51.5,76.96,,16.1,,141.92,0,0,,8.3,,1024,53.38311,-1.46455
2007-6-2T23:0:0,sheffield,54.1,72.1,62.1,54,76.22,,9.9,,143.56,0,0,,8.6,,1023.1,53.38311,-1.46455
2007-6-3T23:0:0,sheffield,50.2,68.3,58.3,51.5,79.3,,15.1,,78.96,0,0,,6.6,,1026.4,53.38311,-1.46455
2007-6-4T23:0:0,sheffield,47.8,66.4,55.9,48.5,77.14,,15.5,,106.2,0,0,,8.8,,1026.2,53.38311,-1.46455
2007-6-5T23:0:0,sheffield,45.4,61,53.4,47.4,80.36,,19.5,,110.68,0,0,,6,,1023.2,53.38311,-1.46455
2007-6-6T23:0:0,sheffield,48.9,61.1,54.9,50.9,86.37,,11.5,,214.8,0,0,,4.9,,1022.1,53.38311,-1.46455
2007-6-7T23:0:0,sheffield,50.3,70.3,59.3,54.1,83.86,,8.1,,195.84,0,0,,3.8,,1020.4,53.38311,-1.46455
2007-6-8T23:0:0,sheffield,52.5,74.3,63,55.1,77.23,,8.5,,158.6,0,0,,5.2,,1019.1,53.38311,-1.46455
2007-6-9T23:0:0,sheffield,54.5,69.1,62,56.8,84.03,,16.1,,129.04,0,0,,4.2,,1017.7,53.38311,-1.46455
2007-6-10T23:0:0,sheffield,52.6,73.4,63.2,57,81.86,,7.3,,144.72,0,0,,4.6,,1015.8,53.38311,-1.46455
2007-6-11T23:0:0,sheffield,56.1,69.1,62.3,57.4,84.62,,11.5,,279.64,0,4,,5.2,,1011.3,53.38311,-1.46455
2007-6-12T23:0:0,sheffield,51.6,69.3,58.5,54.7,87.69,,12.8,,192.4,0.4,4,,6.1,,1007,53.38311,-1.46455
2007-6-13T23:0:0,sheffield,51.2,54.6,53.2,52.2,96.21,,18.7,38,66.6,0.5,12,,3.4,,1003.7,53.38311,-1.46455
2007-6-14T23:0:0,sheffield,50.4,61.7,54.4,52.8,94.4,,18.2,35.8,79.04,0.9,12,,5.6,,999.7,53.38311,-1.46455
2007-6-15T23:0:0,sheffield,51,63.6,56.5,53,88.7,,8.3,,239.28,0.1,8,,6.4,,999.9,53.38311,-1.46455
2007-6-16T23:0:0,sheffield,50.6,64.2,57.8,51.5,80.06,,9.6,,222.36,0,0,,9.3,,1003.4,53.38311,-1.46455
2007-6-17T23:0:0,sheffield,52.8,65.8,59.6,55.3,86.38,,9.2,,131,0.3,4,,7.3,,1006.1,53.38311,-1.46455
2007-6-18T23:0:0,sheffield,52.4,71.3,61.1,55.2,81.78,,17.5,35.8,126,0.4,4,,9.6,,1009.8,53.38311,-1.46455
2007-6-19T23:0:0,sheffield,56,68.9,62,54.1,76.8,,20,,175.8,0,4,,8.9,,1007.5,53.38311,-1.46455
2007-6-20T23:0:0,sheffield,51.2,66.3,58.8,53.3,82.73,,13.9,,153.52,0,4,,9.1,,1008.5,53.38311,-1.46455
2007-6-21T23:0:0,sheffield,51.5,64.2,57.7,55,91.15,,11.5,,109.68,0.1,8,,6.5,,1006.2,53.38311,-1.46455
2007-6-22T23:0:0,sheffield,54.1,63.6,58.3,53.8,85.53,,12.6,,281.52,0.4,8,,7,,1008,53.38311,-1.46455
2007-6-23T23:0:0,sheffield,53.1,59.9,56.1,52.8,88.82,,9.1,,166.88,0.1,8,,9.2,,1005.7,53.38311,-1.46455
2007-6-24T23:0:0,sheffield,50.6,56.4,53.9,52.4,94.66,,24.1,38,108.24,1.1,16,,5.6,,1001,53.38311,-1.46455
2007-6-25T23:0:0,sheffield,46.6,55.3,51.5,41.9,70.8,,21.2,,311.56,0,4,,13.2,,1009.3,53.38311,-1.46455
2007-6-26T23:0:0,sheffield,47,60.3,53.8,45.1,73.5,,20.3,,258.96,0,4,,12.4,,1005.9,53.38311,-1.46455
2007-6-27T23:0:0,sheffield,42.9,63.1,53.6,45.3,75.3,,19.6,,232.6,0.1,4,,11.8,,1007.2,53.38311,-1.46455
2007-6-28T23:0:0,sheffield,51.6,62.6,56.7,49,77.17,,19.6,,260.04,0.4,12,,11,,1005.6,53.38311,-1.46455
2007-6-29T23:0:0,sheffield,50.3,65.2,58.2,55.8,91.8,,14.8,,186.6,0.1,8,,8,,1008.6,53.38311,-1.46455
2007-6-30T23:0:0,sheffield,57.6,66.5,61,56.4,85.13,,19.5,,183.92,0.4,12,,9.1,,998.9,53.38311,-1.46455
2007-7-1T23:0:0,sheffield,54.5,65.5,59.2,55.1,86.73,,13.3,,224.88,0.8,8,,8.7,,998.9,53.38311,-1.46455
2007-7-2T23:0:0,sheffield,50.3,61.6,56.2,51.8,85.38,,15.8,,241.44,0.8,12,,8.1,,998.1,53.38311,-1.46455
2007-7-3T23:0:0,sheffield,51.2,61.9,56.9,53.4,88.7,,16.5,,257.96,0.3,8,,10,,1002.4,53.38311,-1.46455
2007-7-4T23:0:0,sheffield,54.1,65.2,58,53.2,84.93,,15.7,,235.76,0.3,8,,8.9,,1007.4,53.38311,-1.46455
2007-7-5T23:0:0,sheffield,52.8,62.2,57.5,52.2,82.93,,22.3,,263.56,0.1,8,,11.5,,1005.3,53.38311,-1.46455
2007-7-6T23:0:0,sheffield,52,65.4,58.5,50,74.57,,17.5,,271.72,0,4,,11.7,,1014.9,53.38311,-1.46455
2007-7-7T23:0:0,sheffield,46.7,62.7,55.8,50.1,81.99,,7.7,,210.92,0,8,,11.2,,1016.4,53.38311,-1.46455
2007-7-8T23:0:0,sheffield,48.8,63.1,56.1,50.5,82.23,,11,,251.92,0,4,,10.9,,1013.1,53.38311,-1.46455
2007-7-9T23:0:0,sheffield,46.4,65.2,56.3,49.5,79.3,,14.5,,241.16,0.1,4,,9.9,,1012.6,53.38311,-1.46455
2007-7-10T23:0:0,sheffield,51.2,62.3,57,51,80.77,,16.7,,286.64,0,4,,9.4,,1014.1,53.38311,-1.46455
2007-7-11T23:0:0,sheffield,53,68.2,60.7,57.2,88.32,,11.2,,241.6,0.1,8,,8.9,,1012.4,53.38311,-1.46455
2007-7-12T23:0:0,sheffield,56.5,62.8,59.9,58.2,94.15,,15.9,,185.88,0.6,12,,6.2,,1009.2,53.38311,-1.46455
2007-7-13T23:0:0,sheffield,57.5,68.1,62.3,54.1,76.01,,19.6,,234.16,0.3,4,,14,,1008.8,53.38311,-1.46455
2007-7-14T23:0:0,sheffield,52.4,59.8,56.6,54.3,91.87,,17.8,,93.12,0.4,8,,7.5,,1011.9,53.38311,-1.46455
2007-7-15T23:0:0,sheffield,56.4,70.1,63.1,56.5,80.55,,13.8,,191.48,0.1,8,,8.3,,1008.1,53.38311,-1.46455
2007-7-16T23:0:0,sheffield,53,64.7,59.4,54.5,84.17,,17.4,,204.88,0.2,8,,10.8,,1009.8,53.38311,-1.46455
2007-7-17T23:0:0,sheffield,51.5,67.2,59.8,54.2,82.43,,9.9,,251.36,0.1,4,,9.9,,1015.8,53.38311,-1.46455
2007-7-18T23:0:0,sheffield,50.5,68.5,60.1,52.8,78.79,,10.1,,147.8,0,0,,10.3,,1019.1,53.38311,-1.46455
2007-7-19T23:0:0,sheffield,51.5,60,56.4,53,88.76,,22,42.5,56.84,0.5,12,,6.9,,1015.5,53.38311,-1.46455
2007-7-20T23:0:0,sheffield,49.7,56,52.5,50.5,92.87,,23,38,233.88,0,4,,10.3,,1013,53.38311,-1.46455
2007-7-21T23:0:0,sheffield,47.4,65.7,56,51.5,85.91,,15,,210.72,0,4,,9.3,,1009.1,53.38311,-1.46455
2007-7-22T23:0:0,sheffield,53,63.1,57.7,53.9,87.37,,15,,120.56,0,4,,9.2,,1002.6,53.38311,-1.46455
2007-7-23T23:0:0,sheffield,51.1,68,59.5,51.5,76.72,,16.3,,284.12,0,4,,9.6,,1008,53.38311,-1.46455
2007-7-24T23:0:0,sheffield,51,66.6,58.6,54,85.15,,18.8,,204.28,0.1,4,,9.6,,1008.3,53.38311,-1.46455
2007-7-25T23:0:0,sheffield,54.4,62.2,58.6,54.7,86.85,,18,,211.08,0.3,12,,9.1,,1001.1,53.38311,-1.46455
2007-7-26T23:0:0,sheffield,53.8,67.2,59.9,52.4,76.88,,20.8,,248.04,0,4,,11.9,,1007.3,53.38311,-1.46455
2007-7-27T23:0:0,sheffield,53,65.7,58.9,48.8,70.54,,18,,273.38,0,0,,12,,1013.4,53.38311,-1.46455
2007-7-28T23:0:0,sheffield,49.9,63.9,56.6,47,71.83,,15.6,,305.76,0,4,,11.5,,1016.4,53.38311,-1.46455
2007-7-29T23:0:0,sheffield,47.9,63.9,56.3,46.6,71.7,,14.6,,298.92,0,0,,12.3,,1021.5,53.38311,-1.46455
2007-7-30T23:0:0,sheffield,48.5,71.2,59.6,48.4,69.55,,8.7,,270.12,0,0,,10.8,,1020.4,53.38311,-1.46455
2007-7-31T23:0:0,sheffield,50.7,70.1,60.9,49.1,67.06,,12.3,,233.8,0,0,,11.5,,1014.2,53.38311,-1.46455
2007-8-1T23:0:0,sheffield,53.8,67,60,50.4,72.3,,11.2,,300.36,0,0,,10,,1013.9,53.38311,-1.46455
2007-8-2T23:0:0,sheffield,49,70.8,61.7,53.9,76.88,,19.2,,213.72,0,0,,10.5,,1019.6,53.38311,-1.46455
2007-8-3T23:0:0,sheffield,60.5,72.1,66.4,59.4,78.37,,22.5,,213.48,0,0,,12.8,,1017.4,53.38311,-1.46455
2007-8-4T23:0:0,sheffield,53.6,80.6,67.7,57.5,71.65,80.9,16.5,,183.12,0,0,,10.1,,1009.5,53.38311,-1.46455
2007-8-5T23:0:0,sheffield,55.2,68,61.4,52,72.82,,13,,266.88,0,4,,11,,1008.8,53.38311,-1.46455
2007-8-6T23:0:0,sheffield,49.7,65.3,57,48,73.73,,14.8,,271,0.2,4,,11.2,,1017.2,53.38311,-1.46455
2007-8-7T23:0:0,sheffield,45.6,66.3,56.3,46.1,71.23,,12.6,,234.68,0,0,,12.6,,1021.6,53.38311,-1.46455
2007-8-8T23:0:0,sheffield,48.4,68.6,58.5,48.5,71.61,,8.7,,185.64,0,0,,10.2,,1021.8,53.38311,-1.46455
2007-8-9T23:0:0,sheffield,48.4,72.9,61,50,70.66,,7.3,,186.52,0,0,,10.1,,1019.6,53.38311,-1.46455
2007-8-10T23:0:0,sheffield,58.1,73.6,64.7,53.5,69.23,,10.3,,218.35,0,0,,11.4,,1014.5,53.38311,-1.46455
2007-8-11T23:0:0,sheffield,52.6,65.6,59.5,52.2,77.76,,15.2,,224,0.1,8,,10.9,,1007.5,53.38311,-1.46455
2007-8-12T23:0:0,sheffield,51,67.3,58.5,50.1,74.96,,18,,222.72,0,4,,12.4,,1007.1,53.38311,-1.46455
2007-8-13T23:0:0,sheffield,54.6,65.5,60.1,57.8,92.45,,16.8,,167.6,0.4,8,,7.3,,996.8,53.38311,-1.46455
2007-8-14T23:0:0,sheffield,55.3,63.1,59.5,55.4,86.72,,18.9,,245.68,0.1,8,,10.7,,994.2,53.38311,-1.46455
2007-8-15T23:0:0,sheffield,48.8,57.7,52.2,48.4,87.41,,15.3,,279.24,0.2,8,,14.7,,1007.7,53.38311,-1.46455
2007-8-16T23:0:0,sheffield,46.7,64.7,56,48.5,77.53,,14.8,,248.4,0,0,,11.1,,1014.7,53.38311,-1.46455
2007-8-17T23:0:0,sheffield,52.4,62.1,58.3,55.5,90.79,,16.5,,172.88,0.1,8,,7.2,,1007.6,53.38311,-1.46455
2007-8-18T23:0:0,sheffield,53.2,64,58.3,56.5,93.87,,15.5,,276.64,0.3,12,,6.6,,1006.3,53.38311,-1.46455
2007-8-19T23:0:0,sheffield,51.4,60,55.1,49.6,82.41,,16.1,,287.08,0,0,,9.5,,1009.2,53.38311,-1.46455
2007-8-20T23:0:0,sheffield,53.5,64.6,58.4,54.2,86.03,,16.4,,270.12,0,0,,9.7,,1017.4,53.38311,-1.46455
2007-8-21T23:0:0,sheffield,53.5,67.3,58.7,52.4,80.39,,23.4,,263.56,0,0,,10,,1020.3,53.38311,-1.46455
2007-8-22T23:0:0,sheffield,49.4,71.8,59.8,46.9,65.35,,16.3,,273.32,0,0,,11.6,,1020.3,53.38311,-1.46455
2007-8-23T23:0:0,sheffield,49.8,73.1,60.6,50.4,69.94,,12.5,,271.08,0,0,,10.4,,1025.8,53.38311,-1.46455
2007-8-24T23:0:0,sheffield,53.5,71.2,61.8,57.2,85.68,,15.8,,285.68,0,0,,7.6,,1028.2,53.38311,-1.46455
2007-8-25T23:0:0,sheffield,51.5,65.5,58.9,49.6,72.39,,11.7,,286.12,0,0,,11.7,,1029.9,53.38311,-1.46455
2007-8-26T23:0:0,sheffield,47,65.6,56.3,48.7,76.75,,14,,300.16,0,0,,11.2,,1027,53.38311,-1.46455
2007-8-27T23:0:0,sheffield,50.3,60.5,56.5,51.2,83.07,,5.8,,249.86,0,0,,8.5,,1023.2,53.38311,-1.46455
2007-8-28T23:0:0,sheffield,48.3,63.7,56.2,48.3,76.26,,8.9,,293.38,0,0,,11,,1022.1,53.38311,-1.46455
2007-8-29T23:0:0,sheffield,54.7,66.6,60.1,54.2,81.3,,19,,290.16,0,8,,8.2,,1022.5,53.38311,-1.46455
2007-8-30T23:0:0,sheffield,55.7,65.4,60.2,54.5,81.37,,19.9,,289.36,0,4,,8.7,,1021.3,53.38311,-1.46455
2007-8-31T23:0:0,sheffield,53.6,67.5,59.5,53.3,80.77,,16.2,,283.28,0,4,,9.9,,1020.6,53.38311,-1.46455
2007-9-1T23:0:0,sheffield,54.7,64.7,59.6,55.3,86.08,,18.4,,259.56,0.3,8,,8.5,,1016.2,53.38311,-1.46455
2007-9-2T23:0:0,sheffield,47.4,61.6,55.3,46.7,73.75,,10.8,,275.8,0.1,4,,11.6,,1020.6,53.38311,-1.46455
2007-9-3T23:0:0,sheffield,45.1,65.6,55.9,46.2,71.77,,10.3,,248.84,0,4,,12.4,,1028.9,53.38311,-1.46455
2007-9-4T23:0:0,sheffield,54.8,69.4,62.1,56.7,83.47,,16.7,,290.36,0,4,,7.6,,1030.7,53.38311,-1.46455
2007-9-5T23:0:0,sheffield,57.5,74.5,64.4,58.3,81.73,,9.9,,284.12,0,4,,8.2,,1032.8,53.38311,-1.46455
2007-9-6T23:0:0,sheffield,52.4,71.7,60.5,54.8,82.71,,11.9,,279.08,0,0,,8.1,,1032.5,53.38311,-1.46455
2007-9-7T23:0:0,sheffield,54.4,66.2,59.1,54.1,84.05,,11,,296.16,0,0,,9.5,,1028.8,53.38311,-1.46455
2007-9-8T23:0:0,sheffield,54.3,65.9,58.9,53.9,84.25,,16.9,,281.48,0,0,,7.7,,1025.3,53.38311,-1.46455
2007-9-9T23:0:0,sheffield,50.6,64.7,59.3,49.4,71.13,,19.5,,281.24,0,8,,9.2,,1020.9,53.38311,-1.46455
2007-9-10T23:0:0,sheffield,46.5,66.8,56.4,48.5,76.83,,10.9,,277,0,0,,8.7,,1026.7,53.38311,-1.46455
2007-9-11T23:0:0,sheffield,54,70.4,60.9,54.2,80.16,,7.6,,267.76,0,0,,8.4,,1028.6,53.38311,-1.46455
2007-9-12T23:0:0,sheffield,54.4,67.3,60,51.4,74.64,,9.5,,210.76,0,0,,9.7,,1024.7,53.38311,-1.46455
2007-9-13T23:0:0,sheffield,51.9,63.2,58.2,49.5,73.71,,17.1,,270.6,0,8,,9.1,,1019.9,53.38311,-1.46455
2007-9-14T23:0:0,sheffield,45.1,64.3,54.8,47.9,79.1,,13.4,,211.36,0,0,,10.2,,1023.8,53.38311,-1.46455
2007-9-15T23:0:0,sheffield,47.9,67.6,57.8,50.9,79.13,,25.2,,225.96,0,4,,10,,1010.6,53.38311,-1.46455
2007-9-16T23:0:0,sheffield,44.2,56.7,51.3,45,79.75,,19.2,,297.6,0.1,8,,11.4,,1012,53.38311,-1.46455
2007-9-17T23:0:0,sheffield,38.1,55.9,47.4,37.2,69.67,,17.2,,264.28,0,0,,14.2,,1023,53.38311,-1.46455
2007-9-18T23:0:0,sheffield,45.8,60.5,53.8,51.7,92.87,,23,,229.72,0.1,4,,15.4,,1016.1,53.38311,-1.46455
2007-9-19T23:0:0,sheffield,55.9,65,59.7,53.1,79.47,,33.3,,236.36,0.4,8,,10,,1012.8,53.38311,-1.46455
2007-9-20T23:0:0,sheffield,50.6,63.2,56.8,53.6,89.2,,24,,232.96,0.3,12,,8.6,,1013.4,53.38311,-1.46455
2007-9-21T23:0:0,sheffield,49.2,64,57.3,53.8,88.58,,13.4,,191.88,0,0,,8.6,,1019,53.38311,-1.46455
2007-9-22T23:0:0,sheffield,53,65,60.2,56.2,87.02,,18.4,,194.96,0,4,,7.2,,1013.2,53.38311,-1.46455
2007-9-23T23:0:0,sheffield,50.2,62.3,55.8,51.3,85.43,,21.2,33.3,226.28,0.1,8,,9.3,,1003.9,53.38311,-1.46455
2007-9-24T23:0:0,sheffield,46.8,59.6,52.3,47.1,83.42,,14.8,,260.4,0.3,12,,11.3,,1013.4,53.38311,-1.46455
2007-9-25T23:0:0,sheffield,39.5,50.7,46.4,39.8,78.09,,21,,286.8,0,0,,13.8,,1024.3,53.38311,-1.46455
2007-9-26T23:0:0,sheffield,36.6,53.2,46.7,43.4,88.57,,21,,241.6,0,0,,11.9,,1024.3,53.38311,-1.46455
2007-9-27T23:0:0,sheffield,48.4,57,52.1,49.2,90.11,,17.6,,96.44,0,4,,9.1,,1017.3,53.38311,-1.46455
2007-9-28T23:0:0,sheffield,45.3,58.5,52.7,48.5,86.23,,14.1,,110.4,0,4,,7.6,,1016.1,53.38311,-1.46455
2007-9-29T23:0:0,sheffield,41.7,58.3,49.5,43.9,81.96,,7.5,,160.68,0,0,,10.5,,1022.1,53.38311,-1.46455
2007-9-30T23:0:0,sheffield,43.9,58.5,50.7,46.9,87.56,,15.1,,106.48,0,4,,8.3,,1024.3,53.38311,-1.46455
2007-10-1T23:0:0,sheffield,46,59.2,52.7,49,87.74,,21.9,,125.08,0,4,,8.6,,1022.6,53.38311,-1.46455
2007-10-2T23:0:0,sheffield,49.6,60.4,54.9,52.1,90.75,,12.6,,147.2,0,4,,5.8,,1018,53.38311,-1.46455
2007-10-3T23:0:0,sheffield,45.9,59.6,52.1,46.2,81.51,,15.6,,249.92,0.1,4,,10.1,,1021.3,53.38311,-1.46455
2007-10-4T23:0:0,sheffield,40.9,60.7,51.3,46.4,84.22,,6.9,,127.08,0,4,,9.7,,1026.2,53.38311,-1.46455
2007-10-5T23:0:0,sheffield,46.4,57.5,52.8,47.7,83.58,,10.3,,134.52,0,0,,7.7,,1025.4,53.38311,-1.46455
2007-10-6T23:0:0,sheffield,46.1,60.3,53.6,47.4,80.2,,4.7,,154.44,0,0,,6.1,,1023.7,53.38311,-1.46455
2007-10-7T23:0:0,sheffield,48.5,56,52.6,49.5,89.6,,10.1,,95.8,0,0,,4.9,,1025.8,53.38311,-1.46455
2007-10-8T23:0:0,sheffield,47.4,58.8,52.7,50.7,92.88,,18.3,,239.28,0.4,8,,5.6,,1021.8,53.38311,-1.46455
2007-10-9T23:0:0,sheffield,50.3,62.2,55.3,51.7,88.32,,18.3,,146.72,0,4,,5.9,,1027.4,53.38311,-1.46455
2007-10-10T23:0:0,sheffield,48.6,60.7,55.4,52.5,90.28,,14.4,,240.36,0,0,,5,,1027.6,53.38311,-1.46455
2007-10-11T23:0:0,sheffield,54.8,66,60.6,57.7,90.48,,11.5,,286.44,0,4,,5.3,,1026.6,53.38311,-1.46455
2007-10-12T23:0:0,sheffield,56.4,62.2,59.3,57.5,93.63,,8.5,,185.18,0,4,,4.2,,1025.1,53.38311,-1.46455
2007-10-13T23:0:0,sheffield,54.2,59.2,56.5,54.2,92.05,,10.3,,196.83,0.1,8,,5.6,,1019.6,53.38311,-1.46455
2007-10-14T23:0:0,sheffield,51.2,60.3,55.6,51.2,85.58,,20.2,,200.5,0,0,,6.6,,1011.7,53.38311,-1.46455
2007-10-15T23:0:0,sheffield,47.6,57.8,52.5,49.2,88.69,,13.9,,211.8,0.2,8,0.8,7.9,,1011.5,53.38311,-1.46455
2007-10-16T23:0:0,sheffield,42.4,54.7,47.5,42.1,82.74,,14.2,,253.28,0.1,4,0.8,9.6,,1020.6,53.38311,-1.46455
2007-10-17T23:0:0,sheffield,37.9,52.6,44.3,38.9,82.18,,6.4,,228.75,0,4,0.8,11.8,,1033.7,53.38311,-1.46455
2007-10-18T23:0:0,sheffield,37.2,56,45.1,38.8,79.76,,3.8,,149.2,0,0,0.8,10.4,,1036.3,53.38311,-1.46455
2007-10-19T23:0:0,sheffield,36.4,53.5,44.4,39.4,83.3,,12,,167.52,0,0,0.8,7.5,,1036.2,53.38311,-1.46455
2007-10-20T23:0:0,sheffield,36.7,55.3,45.1,40.2,83.92,,9.8,,178.64,0,0,0.8,6.7,,1030.3,53.38311,-1.46455
2007-10-21T23:0:0,sheffield,40.7,51.7,45.8,41.7,85.87,,11.9,,153.96,0,0,0.8,5.8,,1023.5,53.38311,-1.46455
2007-10-22T23:0:0,sheffield,37,53.3,44.8,40.7,86.53,,10.8,,132.6,0,0,,4.1,,1026.8,53.38311,-1.46455
2007-10-23T23:0:0,sheffield,36.1,51.8,44.2,41.3,89.75,,17.2,,146.24,0,0,,6.2,,1029.4,53.38311,-1.46455
